Date,Close,High,Low,Open,Volume
,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS
2025-04-15,5214.67431640625,5256.419541087287,5127.2081313602675,5188.335067500358,334196
2025-04-16,5346.86767578125,5424.39452376172,5220.638064325869,5247.9712479087275,566818
2025-04-17,5537.70263671875,5610.756777219302,5262.382950750682,5389.606487948922,1143784
2025-04-21,5594.85400390625,5664.429377911124,5485.521273327162,5644.053732666839,684672
2025-04-22,5648.029296875,5669.3988753849535,5557.581313414265,5614.73251175484,325345
2025-04-23,5678.34423828125,5756.865014550149,5574.975115091814,5680.332106034893,376059
2025-04-24,5653.9931640625,5698.223223972983,5587.3995907141325,5685.302082875538,374809
2025-04-25,5465.642578125,5673.8717325380185,5352.334112239158,5663.435426469586,638225
2025-04-28,5502.41796875,5524.781481086863,5425.8850598638455,5465.64241512938,205197
2025-04-29,5549.6298828125,5590.878139306942,5526.27243636384,5548.138981975351,224766
2025-04-30,5489.0,5570.005613399729,5435.824535989135,5556.090538705297,316444
2025-05-02,5441.0,5531.0,5420.0,5505.0,203903
2025-05-05,5487.5,5504.5,5415.5,5499.0,241475
2025-05-06,5334.0,5500.0,5310.0,5500.0,400370
2025-05-07,5397.5,5445.0,5270.0,5270.5,270305
2025-05-08,5287.5,5439.5,5210.0,5402.0,345691
2025-05-09,5440.5,5468.0,5190.0,5190.0,321841
2025-05-12,5587.0,5715.0,5472.5,5515.0,669665
2025-05-13,5636.5,5699.0,5528.0,5590.0,638165
2025-05-14,5635.0,5745.0,5591.5,5620.0,400038
2025-05-15,5735.0,5747.5,5608.0,5640.0,356216
2025-05-16,5820.0,5866.0,5701.0,5745.0,418266
2025-05-19,5838.0,5913.0,5824.0,5869.5,181786
2025-05-20,5738.5,5898.0,5710.0,5897.5,444180
2025-05-21,5886.5,5899.5,5722.0,5750.0,266662
2025-05-22,5924.0,5959.0,5826.5,5893.5,286074
2025-05-23,5961.0,5989.5,5875.0,5950.0,208138
2025-05-26,5996.5,6048.0,5965.0,5965.0,219984
2025-05-27,6014.5,6050.0,5958.0,6000.0,244514
2025-05-28,6015.0,6062.0,5981.0,6014.5,160963
2025-05-29,6043.5,6070.0,5986.5,6015.0,160875
2025-05-30,5971.0,6118.0,5945.5,6080.0,296253
2025-06-02,5974.5,5990.5,5891.0,5960.0,159034
2025-06-03,5995.0,6080.0,5966.0,5974.5,197089
2025-06-04,6041.5,6050.0,5970.0,6009.0,171316
2025-06-05,6031.5,6080.0,6010.0,6041.0,135626
2025-06-06,6051.5,6175.5,6026.5,6069.5,336263
2025-06-09,6215.0,6240.5,6071.0,6093.5,270782
2025-06-10,6168.0,6260.0,6160.0,6260.0,207893
2025-06-11,6077.0,6195.0,6034.0,6190.0,294907
2025-06-12,6021.0,6099.0,5975.0,6079.0,369396
2025-06-13,5999.0,6017.5,5885.0,5890.0,220342
2025-06-16,6014.0,6045.0,5941.0,6001.0,133245
2025-06-17,6034.5,6084.0,6014.0,6040.0,101944
2025-06-18,6044.0,6089.5,6000.0,6001.0,165662
2025-06-19,5869.0,6068.5,5850.0,6044.0,130952
2025-06-20,5968.5,5991.0,5853.5,5897.0,241725
2025-06-23,5923.5,5959.0,5880.0,5900.0,88496
2025-06-24,6003.5,6067.0,5940.5,5975.0,228616
2025-06-25,5966.5,6065.0,5941.0,6051.0,138938
2025-06-26,6012.5,6025.0,5953.0,5985.0,110098
2025-06-27,6069.5,6175.0,6030.0,6060.0,241168
2025-06-30,6080.5,6133.5,6060.0,6090.0,157658
2025-07-01,5949.5,6144.5,5921.5,6114.5,365605
2025-07-02,5906.0,5989.5,5842.0,5979.0,284183
2025-07-03,5871.5,5938.5,5862.5,5930.0,193225
2025-07-04,5862.0,5901.5,5841.0,5892.0,153889
2025-07-07,5844.0,5862.0,5802.0,5862.0,89857
2025-07-08,5840.0,5885.0,5822.0,5848.0,242940
2025-07-09,5898.0,5940.0,5821.0,5840.5,204872
2025-07-10,5893.5,5929.0,5826.5,5898.0,189571
2025-07-11,5756.5,5897.0,5718.0,5880.0,280804
