Date,Close,High,Low,Open,Volume
,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS
2025-04-15,1227.4000244140625,1231.0,1180.0,1190.0,3779299
2025-04-16,1232.199951171875,1239.0,1221.300048828125,1239.0,2790449
2025-04-17,1241.9000244140625,1249.800048828125,1218.0,1230.0,4032112
2025-04-21,1306.800048828125,1315.0,1248.4000244140625,1251.0,8458914
2025-04-22,1312.5999755859375,1334.699951171875,1305.0,1322.5,6473593
2025-04-23,1360.9000244140625,1368.300048828125,1297.699951171875,1322.0,8199720
2025-04-24,1367.4000244140625,1377.9000244140625,1345.5,1362.0,6970592
2025-04-25,1330.9000244140625,1378.9000244140625,1291.4000244140625,1370.0,9992155
2025-04-28,1339.0999755859375,1346.800048828125,1312.9000244140625,1330.9000244140625,4813144
2025-04-29,1346.199951171875,1376.199951171875,1343.0,1346.5,3707540
2025-04-30,1320.0,1342.0,1310.300048828125,1340.0,3086189
2025-05-02,1321.199951171875,1334.5,1311.0999755859375,1320.0,3335493
2025-05-05,1313.5,1328.0,1260.0,1279.9000244140625,9286432
2025-05-06,1260.199951171875,1325.0,1251.0999755859375,1313.5,4494504
2025-05-07,1266.5999755859375,1292.5,1236.199951171875,1236.199951171875,5075138
2025-05-08,1240.199951171875,1292.9000244140625,1230.800048828125,1278.0,3179456
2025-05-09,1218.5999755859375,1233.0999755859375,1194.0,1194.0,3987697
2025-05-12,1279.0,1288.0,1260.800048828125,1285.0,3821660
2025-05-13,1323.300048828125,1325.0,1275.4000244140625,1281.699951171875,5386536
2025-05-14,1336.4000244140625,1349.9000244140625,1326.699951171875,1334.4000244140625,3810475
2025-05-15,1337.199951171875,1347.4000244140625,1331.699951171875,1339.0,2586421
2025-05-16,1408.800048828125,1435.0,1337.0999755859375,1342.0,10872895
2025-05-19,1450.800048828125,1468.0,1408.0,1420.0,9502730
2025-05-20,1448.5999755859375,1488.699951171875,1430.0999755859375,1463.699951171875,10139304
2025-05-21,1450.300048828125,1463.300048828125,1420.0999755859375,1447.9000244140625,5806437
2025-05-22,1455.5,1479.0,1440.0,1450.0,5632570
2025-05-23,1462.300048828125,1474.699951171875,1445.0,1461.0,4422837
2025-05-26,1468.9000244140625,1485.0,1465.0,1468.0,3616335
2025-05-27,1465.800048828125,1476.0,1452.0999755859375,1467.9000244140625,3129322
2025-05-28,1519.300048828125,1524.9000244140625,1466.0999755859375,1470.0,8320963
2025-05-29,1513.0,1538.0,1506.0,1534.0,4432920
2025-05-30,1529.699951171875,1554.0,1513.300048828125,1514.699951171875,5711655
2025-06-02,1682.9000244140625,1698.0,1531.0999755859375,1533.4000244140625,19982537
2025-06-03,1708.9000244140625,1730.0,1683.0,1698.0,12431994
2025-06-04,1701.300048828125,1746.300048828125,1677.0999755859375,1714.0,6823572
2025-06-05,1778.800048828125,1795.0,1703.0,1713.0,9554463
2025-06-06,1776.0,1815.9000244140625,1765.0999755859375,1795.0,8394808
2025-06-09,1793.5,1815.5,1773.0,1786.0,4467666
2025-06-10,1787.199951171875,1828.9000244140625,1783.0999755859375,1802.0999755859375,4428584
2025-06-11,1739.4000244140625,1798.800048828125,1715.800048828125,1789.0,7668758
2025-06-12,1644.199951171875,1728.0,1636.0999755859375,1728.0,8169499
2025-06-13,1659.699951171875,1668.9000244140625,1590.699951171875,1595.0,6176138
2025-06-16,1682.5999755859375,1686.0,1625.0,1650.0,4531283
2025-06-17,1686.800048828125,1723.9000244140625,1677.0,1690.300048828125,5365587
2025-06-18,1680.300048828125,1702.5999755859375,1672.300048828125,1683.9000244140625,2574935
2025-06-19,1637.800048828125,1685.9000244140625,1635.0,1678.9000244140625,2740650
2025-06-20,1685.800048828125,1688.9000244140625,1632.699951171875,1636.0,3125164
2025-06-23,1723.300048828125,1740.0,1665.0,1675.0,7333258
2025-06-24,1748.5,1764.199951171875,1728.0,1755.0,5572107
2025-06-25,1744.300048828125,1782.0,1740.699951171875,1756.800048828125,4128802
2025-06-26,1746.800048828125,1755.0,1726.0999755859375,1749.0,2840860
2025-06-27,1760.5,1797.5,1750.0,1750.0,4679966
2025-06-30,1794.0,1812.0,1764.0,1768.0,5084031
2025-07-01,1797.5,1809.0,1773.699951171875,1804.0,3619853
2025-07-02,1779.0,1814.0,1763.0,1794.5999755859375,3075273
2025-07-03,1804.9000244140625,1809.800048828125,1764.699951171875,1780.5,3253951
2025-07-04,1762.5,1805.0,1726.699951171875,1805.0,5459008
2025-07-07,1778.5,1790.0,1743.4000244140625,1761.800048828125,2706713
2025-07-08,1754.0999755859375,1794.9000244140625,1722.300048828125,1783.0,4684269
2025-07-09,1761.5,1769.699951171875,1750.0999755859375,1755.0,1846080
2025-07-10,1747.199951171875,1784.800048828125,1743.0999755859375,1764.0,2045231
2025-07-11,1688.699951171875,1749.0,1685.0,1735.0,3250994
