Date,Close,High,Low,Open,Volume
,ERIS.NS,ERIS.NS,ERIS.NS,ERIS.NS,ERIS.NS
2025-04-15,1381.800048828125,1444.0,1365.0,1429.0,80546
2025-04-16,1400.5,1407.800048828125,1360.0,1389.0,66266
2025-04-17,1383.0,1403.5999755859375,1372.0,1384.0,41653
2025-04-21,1382.9000244140625,1397.5999755859375,1357.0,1379.199951171875,81152
2025-04-22,1399.4000244140625,1417.5,1363.0999755859375,1370.0,120248
2025-04-23,1474.199951171875,1490.0,1405.5,1415.0,647268
2025-04-24,1512.0,1521.800048828125,1426.800048828125,1490.0,433232
2025-04-25,1468.199951171875,1512.0,1444.9000244140625,1512.0,159296
2025-04-28,1486.300048828125,1509.9000244140625,1457.199951171875,1468.199951171875,182117
2025-04-29,1464.800048828125,1500.5,1457.0,1500.0,150674
2025-04-30,1432.0999755859375,1459.9000244140625,1417.0999755859375,1454.5,107682
2025-05-02,1490.0,1535.0,1440.0999755859375,1440.0999755859375,390519
2025-05-05,1507.0,1519.699951171875,1480.0999755859375,1518.0,251347
2025-05-06,1459.0,1513.800048828125,1448.800048828125,1509.0,105149
2025-05-07,1466.9000244140625,1476.0,1404.0,1429.800048828125,95642
2025-05-08,1465.5,1499.0,1450.699951171875,1474.5999755859375,145646
2025-05-09,1456.0,1472.0,1403.0,1450.0,113370
2025-05-12,1404.9000244140625,1499.0,1385.5,1471.300048828125,321629
2025-05-13,1444.800048828125,1475.0,1397.699951171875,1397.699951171875,278335
2025-05-14,1479.800048828125,1495.0,1417.0999755859375,1445.9000244140625,144917
2025-05-15,1482.4000244140625,1513.9000244140625,1450.4000244140625,1483.9000244140625,360590
2025-05-16,1464.5999755859375,1491.0,1454.0999755859375,1488.0,57235
2025-05-19,1443.699951171875,1468.199951171875,1402.5999755859375,1460.199951171875,195014
2025-05-20,1470.199951171875,1539.0,1443.699951171875,1466.800048828125,336501
2025-05-21,1505.9000244140625,1549.9000244140625,1355.699951171875,1470.199951171875,743062
2025-05-22,1519.800048828125,1534.0,1485.0,1505.9000244140625,226685
2025-05-23,1504.300048828125,1566.0,1495.800048828125,1517.0,178257
2025-05-26,1541.4000244140625,1572.0,1486.0,1502.4000244140625,323464
2025-05-27,1570.5,1605.0999755859375,1542.0999755859375,1549.9000244140625,424974
2025-05-28,1610.699951171875,1619.0,1574.0999755859375,1575.800048828125,284410
2025-05-29,1615.699951171875,1664.300048828125,1587.5,1613.0,219419
2025-05-30,1581.800048828125,1618.699951171875,1575.0999755859375,1618.0999755859375,178142
2025-06-02,1566.0999755859375,1585.699951171875,1538.300048828125,1555.0,250606
2025-06-03,1603.699951171875,1618.0,1550.0999755859375,1550.0999755859375,156689
2025-06-04,1605.0,1620.0,1585.800048828125,1603.699951171875,91161
2025-06-05,1651.800048828125,1658.199951171875,1605.0,1605.0,137816
2025-06-06,1638.300048828125,1654.800048828125,1621.0999755859375,1647.199951171875,55564
2025-06-09,1636.4000244140625,1650.0,1619.0999755859375,1646.9000244140625,48633
2025-06-10,1691.699951171875,1701.5,1636.4000244140625,1648.5,231936
2025-06-11,1715.300048828125,1725.0,1683.800048828125,1691.699951171875,147624
2025-06-12,1791.0999755859375,1910.0,1715.5999755859375,1715.5999755859375,3104233
2025-06-13,1795.0999755859375,1816.699951171875,1731.5999755859375,1764.9000244140625,274234
2025-06-16,1847.699951171875,1900.0,1760.0,1795.0,1097760
2025-06-17,1787.699951171875,1841.0,1768.0999755859375,1840.0999755859375,248243
2025-06-18,1780.199951171875,1805.4000244140625,1770.0999755859375,1788.0,86608
2025-06-19,1735.800048828125,1790.0,1725.0,1767.0,85607
2025-06-20,1626.5999755859375,1760.9000244140625,1582.5999755859375,1739.0999755859375,980746
2025-06-23,1623.300048828125,1637.199951171875,1579.0999755859375,1601.0999755859375,204563
2025-06-24,1604.0999755859375,1628.5999755859375,1582.4000244140625,1625.199951171875,170664
2025-06-25,1627.9000244140625,1635.199951171875,1596.0,1605.0,118815
2025-06-26,1618.0,1645.5999755859375,1610.5,1629.0,75791
2025-06-27,1675.800048828125,1699.0,1608.5999755859375,1624.0,533501
2025-06-30,1683.800048828125,1709.800048828125,1646.0,1691.0,146874
2025-07-01,1676.5999755859375,1692.5999755859375,1639.9000244140625,1683.0,100264
2025-07-02,1631.300048828125,1680.0999755859375,1620.0,1680.0999755859375,106002
2025-07-03,1718.5999755859375,1735.9000244140625,1610.5,1619.0,458166
2025-07-04,1706.699951171875,1716.699951171875,1686.0999755859375,1710.0,82405
2025-07-07,1734.0,1754.0,1700.199951171875,1706.699951171875,156510
2025-07-08,1711.0,1737.699951171875,1703.199951171875,1730.0999755859375,86372
2025-07-09,1731.199951171875,1742.300048828125,1696.5999755859375,1700.0,100925
2025-07-10,1743.9000244140625,1751.699951171875,1707.4000244140625,1725.0,93015
2025-07-11,1709.800048828125,1764.699951171875,1701.0999755859375,1752.4000244140625,106770
