Date,Close,High,Low,Open,Volume
,JAICORPLTD.NS,JAICORPLTD.NS,JAICORPLTD.NS,JAICORPLTD.NS,JAICORPLTD.NS
2022-07-11,117.4476089477539,118.59077380392331,114.11752595424699,114.51514191809862,1607148
2022-07-12,117.09968566894531,121.77174128037299,115.95652086664849,116.80146612607204,2277629
2022-07-13,116.50324249267578,119.63451724675139,115.50918749671767,117.74581123762343,1181525
2022-07-14,115.36009216308594,117.49730446404462,114.3660371081142,116.90087294786922,811453
2022-07-15,115.4097900390625,116.45355087744662,113.9684132470446,115.85711936295777,807642
2022-07-18,118.9883804321289,120.87708644839272,115.8074074666598,116.05592121658826,2009673
2022-07-19,122.02025604248047,123.01431108152308,118.34225543163804,118.34225543163804,2154255
2022-07-20,119.43571472167969,124.25688015488147,118.78957742806668,123.11371534064894,2204592
2022-07-21,119.6842269897461,121.22500773403304,118.49135640470928,119.38600744747738,1018507
2022-07-22,120.7776870727539,122.21906384371063,119.48541249021208,120.18125556698001,1272654
2022-07-25,118.14344024658203,121.17531115885389,117.54700873808017,120.97649559999454,1020286
2022-07-26,117.64641571044922,120.62858091266105,117.24879216667998,118.29255302106944,975109
2022-07-27,117.74581909179688,119.33631325865313,116.50325026396433,117.84523066525408,939484
2022-07-28,118.54106903076172,120.28066543163244,117.69612372428935,118.54106903076172,1030193
2022-07-29,120.62857818603516,122.41788030053311,119.08779741680902,119.18720140449489,1240614
2022-08-01,128.03428649902344,129.22714946042765,120.5788740301526,121.17530551085473,4412533
2022-08-02,124.95271301269531,128.9289330937235,124.45568550256678,126.74201508277316,1640912
2022-08-03,123.41193389892578,125.89707148213395,121.47352203360057,125.64855772381314,1381915
2022-08-04,121.42382049560547,125.94676622232997,119.73392243503986,124.05806777822403,1253418
2022-08-05,121.1753158569336,123.46163799217331,120.57888432530751,121.9208571674758,1166893
2022-08-08,121.6723403930664,123.06401898852407,120.77768932569803,121.32442264021155,835088
2022-08-10,120.67828369140625,122.4178800159989,119.58482466132706,121.77174272148544,945883
2022-08-11,122.71609497070312,124.75391089138894,121.42382793420335,121.42382793420335,1456168
2022-08-12,123.51133728027344,125.15152959396193,122.02025473765444,123.1634195371366,1367770
2022-08-16,130.46971130371094,132.95484866187687,124.35627188581529,124.65449140241014,4110813
2022-08-17,126.04618072509766,132.60693481639547,124.85331013973969,130.86733851544835,2805793
2022-08-18,133.55130004882812,137.62691659237808,129.22715457839746,129.22715457839746,11275334
2022-08-19,129.82357788085938,134.1974134367535,128.23308395067556,134.1974134367535,2651107
2022-08-22,125.84736633300781,130.12179844731014,124.95271528172285,129.8235940702786,1483763
2022-08-23,128.23309326171875,129.62476417562354,123.56103785866654,125.94676375909629,2427134
2022-08-24,129.72418212890625,131.81170377062483,126.74201702249461,128.48161333456807,2681083
2022-08-25,129.624755859375,133.30277120800966,128.8295240556345,130.81763390113454,2086396
2022-08-26,127.73606872558594,131.96080251612088,126.94082168434068,130.51942578590644,1426268
2022-08-29,127.18933868408203,130.91704506502276,123.66044786054765,124.30658515005165,2956734
2022-08-30,130.71823120117188,131.71228619129485,128.28279950898565,128.28279950898565,1818660
2022-09-01,134.8435516357422,135.83760661327977,129.2768528623769,130.27090783991446,3795626
2022-09-02,138.17364501953125,145.52964595334083,133.8494997016898,136.08612345200595,12652322
2022-09-05,161.0866241455078,165.8083856406111,137.6269188605009,139.16770722409723,29309673
2022-09-06,155.56961059570312,164.01907826384036,153.58150055614144,161.98126243967445,16096332
2022-09-07,160.1919708251953,167.79650132366513,154.27734610510336,154.9731816307477,9084204
2022-09-08,162.47830200195312,165.9077890409759,157.16011635247634,161.93156866690265,5908483
2022-09-09,156.31515502929688,164.86403443994197,155.22168841814127,163.9196700175457,3413718
2022-09-12,159.7943572998047,163.37296172647126,157.0607057752357,157.0607057752357,2769783
2022-09-13,159.49612426757812,163.47234433117907,157.55772002018782,160.63929663670888,3032092
2022-09-14,169.9337158203125,175.3513130660414,156.4642662206209,158.05476044325556,10737429
2022-09-15,180.22218322753906,183.35345056136129,166.35511834220654,171.32539358197278,10154351
2022-09-16,175.10279846191406,185.78889070539012,171.27569545695718,181.41505436598885,9778274
2022-09-19,189.3674774169922,194.53656038111126,173.01527570777517,175.94773492287464,14703301
2022-09-20,191.75320434570312,199.50683641623314,189.11896465039177,191.85261591340665,10810950
2022-09-21,181.06712341308594,193.4928116837637,174.95369085114308,192.84668196091906,8575253
2022-09-22,191.00767517089844,193.34371064697427,179.97367302145435,181.06712449496146,6925658
2022-09-23,193.54251098632812,199.80506069855474,186.385317815816,192.0514284438016,9259474
2022-09-26,180.02337646484375,194.6856885209718,177.78675259187506,194.0395436346017,4573583
2022-09-27,182.30967712402344,184.89422613725822,173.0649779516207,182.0611633792153,3802002
2022-09-28,179.3772430419922,186.6835542278472,177.93586615424644,180.91803150878687,2992468
2022-09-29,180.32156372070312,184.69541464661373,175.94772796286748,181.96176350594772,2252389
2022-09-30,185.83859252929688,188.6716555494791,179.02932439234695,180.9677287475932,3291090
2022-10-03,184.74513244628906,192.64786686068848,183.00553615270093,186.2362149836503,3776755
2022-10-04,193.1448974609375,195.2324039457705,186.98175924159648,188.37343023148517,3526484
2022-10-06,205.3220672607422,207.75749902430186,190.65975572673045,194.188654078701,8145979
2022-10-07,207.80722045898438,211.4355154852843,203.83100008251236,206.71375378822378,7143725
2022-10-10,210.14321899414062,213.22479553294247,201.5943551738516,205.7693831017207,4368508
2022-10-11,210.54086303710938,216.95251508858635,207.35988990447734,214.7158912216937,5082068
2022-10-12,193.3437042236328,211.88282455111062,185.44096973242603,211.6840165778121,5687392
2022-10-13,192.9460906982422,195.77913848146846,186.23621913070315,194.33776169687164,3086339
2022-10-14,191.70352172851562,198.1151737429444,190.3615413489038,195.82884410304987,2690642
2022-10-17,191.057373046875,192.54845558652502,184.8942349166034,191.70351791490225,3081020
2022-10-18,192.59815979003906,194.73537201209174,188.22432377687625,192.34964603547127,2598652
2022-10-19,191.60411071777344,197.5187352264189,190.56034988258276,193.59222081601234,3245142
2022-10-20,189.56100463867188,191.80344558126072,187.46806888343784,191.80344558126072,2030204
2022-10-21,178.44847106933594,191.20547154594993,175.4585497954823,190.05932593312377,3260365
2022-10-24,179.24578857421875,180.19259394731816,177.65115779292674,180.04308875733855,525618
2022-10-25,181.33871459960938,184.07947565216813,176.50501786779373,179.54475886915677,2475596
2022-10-27,179.0962677001953,182.48485401180974,177.60130717647496,182.1360238065984,1299150
2022-10-28,175.0100555419922,179.7440973126651,172.86726961601457,179.3952670991844,1796954
2022-10-31,175.10971069335938,178.24913699638802,170.47533903665905,175.90702603416943,2453751
2022-11-01,176.255859375,177.3023196203824,171.82079746541524,175.4087089589494,1781059
2022-11-02,178.89694213867188,181.18921797638268,175.70769607241223,176.25585130431423,2384019
2022-11-03,160.65841674804688,174.41205622314862,158.5156461403151,174.41205622314862,5308223
2022-11-04,166.09010314941406,167.13657852631675,159.7614462455705,160.40925637018796,2790506
2022-11-07,168.88070678710938,171.72113791002232,164.64498523637693,166.78777114538016,2234723
2022-11-09,168.0335693359375,171.27265047812026,167.1365838951258,168.38238433442686,1370929
2022-11-10,163.19985961914062,168.48205659030333,162.1035491356356,168.13322637986306,1042968
2022-11-11,160.90757751464844,166.63825938642225,158.66513678221523,164.7446488509329,1291692
2022-11-14,165.89077758789062,167.435573119486,158.1169800801239,161.4557312223615,1949294
2022-11-15,166.43894958496094,167.93391020997555,164.5453388762861,166.28945960546983,1182722
2022-11-16,161.55540466308594,168.4322169033489,157.76816834209743,165.99045111992362,1756852
2022-11-17,160.4092559814453,163.15001685322608,159.7614458583978,160.9075761399509,867477
2022-11-18,158.51565551757812,161.6052315717855,157.0206949472285,161.30625162373585,797664
2022-11-21,156.97085571289062,159.06380653873916,155.07724512380858,158.21665615505643,757221
2022-11-22,161.4557342529297,162.70153467154796,157.2200128296275,157.81800311357415,939756
2022-11-23,164.29617309570312,167.43558421675718,161.7049020188622,162.30289233121792,1532296
2022-11-24,161.9042205810547,165.44229683807262,160.8577451800318,165.19313675247312,736374
2022-11-25,163.7978515625,168.13322806521808,162.4025459142776,162.70154106800564,1636668
2022-11-28,164.64498901367188,166.93726494698632,163.49885865077738,163.49885865077738,1496022
2022-11-29,170.82415771484375,172.81743850595058,163.8476749459699,165.4423056618656,3456977
2022-11-30,169.6780242919922,174.06323587056661,168.13322866515622,171.37230989246297,1802619
2022-12-01,169.62818908691406,173.21610052634196,167.98373854823268,170.57499440335258,1677265
2022-12-02,168.0335693359375,170.82415015395196,167.48541410114007,169.92717992066517,985527
2022-12-05,174.8107147216797,177.20266073291802,166.18978160879144,168.8308725048716,2790193
2022-12-06,172.9171142578125,176.2558657746193,171.42215361581412,174.41207489981088,1506721
2022-12-07,167.9339141845703,174.26258706326047,167.03694387134274,172.91711638589288,1104105
2022-12-08,169.7278594970703,172.02013540908507,167.43558358505555,167.9339037742968,1214408
2022-12-09,165.4423065185547,172.02013924627857,163.64835075576403,169.67802822158998,1049776
2022-12-12,166.43894958496094,168.43223041831376,162.65171296008538,164.4955038139471,1308565
2022-12-13,165.49212646484375,169.92717280144103,164.64497611860105,167.28608206378317,1112370
2022-12-14,164.69482421875,167.93390548175114,164.09683390257038,166.3392747769558,1018259
2022-12-15,162.20321655273438,167.83422843299908,161.2564112641312,164.69481742143998,997634
