Date,Close,High,Low,Open,Volume
,KALPATARU.NS,KALPATARU.NS,KALPATARU.NS,KALPATARU.NS,KALPATARU.NS
2025-07-01,432.95001220703125,452.79998779296875,414.0,414.0,9459898
2025-07-02,414.29998779296875,426.04998779296875,408.54998779296875,424.8999938964844,1675979
2025-07-03,414.3999938964844,421.6000061035156,410.0,414.0,908402
2025-07-04,415.20001220703125,419.95001220703125,411.5,414.0,508106
2025-07-07,422.79998779296875,438.0,412.95001220703125,413.0,1231053
2025-07-08,429.8500061035156,432.70001220703125,414.54998779296875,421.0,622826
2025-07-09,431.6499938964844,457.3999938964844,424.20001220703125,435.04998779296875,2500565
2025-07-10,419.6000061035156,437.0,416.79998779296875,433.8500061035156,915048
2025-07-11,417.75,430.0,416.1000061035156,424.3500061035156,753209
